uid,w1_duration,w1_num_likes,w1_num_comments,w1_watched_time,w1_like,w2_duration,w2_num_likes,w2_num_comments,w2_watched_time,w2_like,w3_duration,w3_num_likes,w3_num_comments,w3_watched_time,w3_like,w4_duration,w4_num_likes,w4_num_comments,w4_watched_time,w4_like,w5_duration,w5_num_likes,w5_num_comments,w5_watched_time,w5_like,w6_duration,w6_num_likes,w6_num_comments,w6_watched_time,w6_like,w7_duration,w7_num_likes,w7_num_comments,w7_watched_time,w7_like,w8_duration,w8_num_likes,w8_num_comments,w8_watched_time,w8_like,w9_duration,w9_num_likes,w9_num_comments,w9_watched_time,w9_like,w10_duration,w10_num_likes,w10_num_comments,w10_watched_time,w10_like,c1_duration,c1_num_likes,c1_num_comments,c2_duration,c2_num_likes,c2_num_comments,c3_duration,c3_num_likes,c3_num_comments,c4_duration,c4_num_likes,c4_num_comments,t1_duration,t1_num_likes,t1_num_comments,p_like,p_has_next,p_effective_view
daivt,15,839300,4464,3.599250078201294,1,15,405000,2491,2.2402503490448,0,11,120400,247,21.48541665077209,0,49,288000,2049,4.158788681030273,1,14,180900,1659,1.845345497131348,0,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,59,453400,382,34,606400,1542,19,100400,666,0,0,0,22,770800,2152,1,1,0
daivt,15,839300,4464,3.599250078201294,1,15,405000,2491,2.2402503490448,0,11,120400,247,21.48541665077209,0,49,288000,2049,4.158788681030273,1,14,180900,1659,1.845345497131348,0,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,59,453400,382,34,606400,1542,19,100400,666,22,770800,2152,223,642000,2864,0,1,0
daivt,15,839300,4464,3.599250078201294,1,15,405000,2491,2.2402503490448,0,11,120400,247,21.48541665077209,0,49,288000,2049,4.158788681030273,1,14,180900,1659,1.845345497131348,0,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,34,606400,1542,19,100400,666,22,770800,2152,223,642000,2864,7,21200,113,0,1,0
daivt,15,839300,4464,3.599250078201294,1,15,405000,2491,2.2402503490448,0,11,120400,247,21.48541665077209,0,49,288000,2049,4.158788681030273,1,14,180900,1659,1.845345497131348,0,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,19,100400,666,22,770800,2152,223,642000,2864,7,21200,113,10,360600,2056,0,1,0
daivt,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,59,453400,382,4.546308517456055,1,34,606400,1542,7.926674127578735,1,19,100400,666,7.997400283813477,1,22,770800,2152,3.937974452972412,1,223,642000,2864,3.001454591751098,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21200,113,0,1,0
daivt,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,59,453400,382,4.546308517456055,1,34,606400,1542,7.926674127578735,1,19,100400,666,7.997400283813477,1,22,770800,2152,3.937974452972412,1,223,642000,2864,3.001454591751098,0,7,21200,113,0,0,0,0,0,0,0,0,0,10,360600,2056,0,1,0
daivt,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,59,453400,382,4.546308517456055,1,34,606400,1542,7.926674127578735,1,19,100400,666,7.997400283813477,1,22,770800,2152,3.937974452972412,1,223,642000,2864,3.001454591751098,0,7,21200,113,10,360600,2056,0,0,0,0,0,0,22,219400,925,0,1,0
daivt,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,59,453400,382,4.546308517456055,1,34,606400,1542,7.926674127578735,1,19,100400,666,7.997400283813477,1,22,770800,2152,3.937974452972412,1,223,642000,2864,3.001454591751098,0,7,21200,113,10,360600,2056,22,219400,925,0,0,0,86,228700,1716,0,1,0
daivt,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,59,453400,382,4.546308517456055,1,34,606400,1542,7.926674127578735,1,19,100400,666,7.997400283813477,1,22,770800,2152,3.937974452972412,1,223,642000,2864,3.001454591751098,0,7,21200,113,10,360600,2056,22,219400,925,86,228700,1716,13,42900,721,0,1,0
daivt,9,3100000,31900,3.319629907608032,0,14,223400,1387,6.087563514709473,0,17,122200,3330,2.8918609619140625,0,12,58200,1357,4.783100366592407,0,15,523000,878,6.1571009159088135,0,59,453400,382,4.546308517456055,1,34,606400,1542,7.926674127578735,1,19,100400,666,7.997400283813477,1,22,770800,2152,3.937974452972412,1,223,642000,2864,3.001454591751098,0,10,360600,2056,22,219400,925,86,228700,1716,13,42900,721,158,1000000,4784,0,1,0
